project_id|ward|zone|project_name|project_description|sector|project_type|beneficiaries|cdf_application_form_yes_no|wdec_recommendation_yes_no|wdc_minutes_yes_no|zonal_minutes_yes_no|council|province|district|constituency|financial_year|source_url|source_document|retrieval_date
1|Kankumba|Mwambashi|Waterborne sanitation System in Mwalubemba Community|Construction of waterborne sanitation system at Mwalubemba Community.|Water|Water|120|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
2|Kankumba|Kankumba|Construction of a community Library and Resource Centre|Construction and set up of a community library and resource centre in Chuulu Village on a land already owned by Shine Zambia|Education|Library|2438|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
3|Kankumba|Kanyongoloka|Construction of a 1X3 Classroom Block at Katope Primary School|Construction of a 1X3 Classroom Block at Katope Primary School|Education|Classroom Block |4800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
4|Kankumba|Kanyongoloka|Construction of a 1X3 Classroom Block at Mukonka Primary School|Construction of a 1X3 Classroom Block at Mukonka Primary School|Education|Classroom Block |517|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
5|Kankumba|Chilimba|Construction of a bridge (Crossing Point) in Mukotoka Village |Construction of a bridge (Crossing Point) in Mukotoka Village |Road |Bridge|150|Yes|No|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
6|Kankumba|Kankumba|Construction of 1X3 Classroom Block, Staff House and a Borehole|Construction of 1X3 CRB, Staff House and a Borehole in Chandalala Village|Education|Classroom Block |1000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
7|Kankumba|Kanyongoloka|Construction of 1X3 Classroom Block at Chipokolo |Construction of 1X3 Classroom Block at Chipokolo |Education|Classroom Block |1000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
8|Kankumba|Mwambashi|Construction of Staff House at Mwambashi Primary School|Construction of Staff House at Mwambashi Primary School with Community contributing 25% |Education|Staff House|1200|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
9|Kankumba|Mwambashi|Construction of 2X2 VIP Toilets at Mwambashi Health Post |Construction of 2X2 VIP Toilets at Mwambashi Health Post |Health |VIP Toilets |4628|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
10|Kankumba|Mwambashi|Construction of 1X3 Classroom Block at Chinyika Community School|Construction of 1X3 Classroom Block at Chinyika Community School|Education|Classroom Block |2743|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
11|Kankumba|Kankumba|Procurement of Laboratory Assoceries at Kankumba Combined School |Procurement of Laboratory Assoceries at Kankumba Combined School to stock the newly constructed Laboratory |Education|Equipment and Chemicals |2000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
12|Kankumba|Kanyongoloka|Rehabilitation of Mukonka Health Post |Rehabilitation of Mukonka Health Post |Health |Health Post |4200|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
13|Mankhanda|Lukwipa|Construction of a Health facility at Lukwipa |Construction of a Health facility|Health |Health facility|4969|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
