0|1|2|3|4|5|6|7|8|source_page|9|10|council|province|district|constituency
2010 Population|||2022 Population|||"Average Annual Population
Growth Rate 2010- 2022"|||22|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Male|Female|Total|Male|Female|Total|Male|Female|Total|22|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
25,785|25,217|51,002|41,478|40,255|81,733|4.0|4.0|4.0|22|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Population|Land Area|"Population Density (Pop/Land
Area)"|||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
82,347|9,446.0|8.7|||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Age Group|Total||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
0-9|16,619||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
10-19|13,455||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
20-29|7,144||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
30-39|5,029||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
40-49|3,234||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
50-59|2,227||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
60 +|3,294||||||||23|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Rural/Urban|1990|2000|2010||||||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Child Dependency Ratio|80.4|76.7|69.7||||||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Aged Dependency Ratio|2|2.6|2.8||||||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Overall Dependency Ratio|82.4|79.3|72.5||||||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Category|2017|2018|2019|2020|2021|2022|||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Total Male (no.)|32509|33984|35,396|36441|39,456|41,807|||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Total Female
(no.)"|33139|34643|34,008|35011|37,909|40,540|||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Total
Population"|65648|68627|69,404|71,452|77,365|82,347|||24|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
S/N|WARD|TOTAL|MALE|FEMALE|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
1|Bunda-bunda|12,063|6,176|5,887|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
2|Nyangwena|8,206|4,141|4,065|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
3|Kabuyu|3,669|1,848|1,821|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
4|Mwachilele|3,185|1,610|1,575|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
5|Namanongo|5,139|2,669|2,470|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
6|Chintimbwi|7,045|3,380|3,665|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
7|Rufunsa|9,930|4,910|4,065|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
8|Shikabeta|2,119|1,077|1,042|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
9|Kankumba|8,833|4,544|4,289|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
10|Mankhanda|5,843|2,868|2,975|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
11|Chamulimba|6,389|3,335|3,054|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
12|Mulamba|9,926|5,249|4,677|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|TOTAL POPULATION|82,347|41,807|40,540|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Category|percent|2017|2018|2019|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Children 0 –
11 Months"|"3.70
percent"|2417|2539|2765|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
12-59 Months|"12.90
percent"|8507|8853|11058|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
5+ Years|"87.90
percent"|57705|60323|60752|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Women 15 –
49 Years
(WCBA)"|"26.50
percent"|17401|18529|18661|||||25|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
